"F#TIME","R#000","R#001","R#002","R#003","R#004","R#005","R#006","R#007","R#008","R#009","R#010","R#011","R#012","R#013","R#014","R#015","R#016","R#017","R#018","R#019","R#020","R#021","R#022","R#023","R#024","R#025","R#026","R#027","R#028","R#029","R#030","R#031","R#032","R#033","R#034","R#035","R#036","R#037","R#038","R#039","R#040","R#041","R#042","R#043","R#044","R#045","R#046","R#047","R#048","R#049","R#050","R#051","R#052","R#053","R#054","R#055","R#056","R#057","R#058","R#059","R#060","R#061","R#062","R#063","R#064","R#065","R#066","R#067","R#068","R#069","R#070","R#071","R#072","R#073","R#074","R#075","R#076","R#077","R#078","R#079","R#080","R#081","R#082","R#083","R#084","R#085","R#086","R#087","R#088","R#089","R#090","R#091","R#092","R#093","R#094","R#095","R#096","R#097","R#098","R#099","R#100","R#101","R#102","R#103","R#104","R#105","R#106","R#107","R#108","R#109","R#110","R#111","R#112","R#113","R#114","R#115","R#116","R#117","R#118","R#119","R#120","R#121","R#122","R#123","R#124","R#125","R#126","R#127","R#128","R#129","R#130","R#131","R#132","R#133","R#134","R#135","R#136","R#137","R#138","R#139","R#140","R#141","R#142","R#143","R#144","R#145","R#146","R#147","R#148","R#149","R#150","R#151","R#152","R#153","R#154","R#155","R#156","R#157","R#158","R#159","R#160","R#161","R#162","R#163","R#164","R#165","R#166","R#167","R#168","R#169","R#170","Total","Z#TEST","Z#GTEST"
"2016-08-31 18:58:18.469","404","17271","274013","1576714","2788115","2824332","1184531","169579","10100","101","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10091535","505000","11110000"
"2016-08-31 18:58:19.480","424","18133","287701","1657327","2917668","2946868","1243521","178353","10606","106","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10606777","505000","11615000"
"2016-08-31 18:58:20.480","445","19001","301126","1734721","3047972","3091024","1303974","186647","11109","111","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11092011","505000","12120000"
"2016-08-31 18:58:21.470","465","19857","314953","1813357","3176127","3224299","1362076","195128","11614","116","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11613524","505000","12625000"
"2016-08-31 18:58:22.469","485","20719","328644","1892373","3305494","3371247","1421359","203608","12121","121","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12101510","505000","13130000"
"2016-08-31 18:58:23.472","505","21583","342334","1970627","3434870","3502592","1480309","212109","12623","126","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12622775","505000","13635000"
"2016-08-31 18:58:24.469","525","22444","355913","2049494","3564523","3616180","1540187","220586","13125","132","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13127928","505000","14140000"
"2016-08-31 18:58:25.471","542","23303","369610","2128750","3694169","3772563","1599018","229159","13629","137","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13625584","505000","14645000"
"2016-08-31 18:58:26.469","566","24165","383401","2207693","3823116","3894193","1658343","237398","14138","142","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14137593","505000","15150000"
"2016-08-31 18:58:27.468","586","25031","397098","2286443","3952854","4055926","1717897","246031","14646","147","49794","49827","49878","49811","49775","49889","49860","49818","49890","49823","49876","49891","49834","49900","49900","49824","49868","49887","49899","49900","49800","49816","49900","49897","49818","49848","49847","49811","49808","49843","49807","49900","49858","49859","49863","49885","49834","49900","49892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14640989","505000","15655000"
