Ti00,<Length>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<Event>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<CPU>:,us,sy
06:35.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.2,,88,95,95,96,89,95,101,95,88,95,,0,0,0,0,0,0,1,0,0,0,,14,7
06:35.3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:35.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,14,7
06:36.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.2,,0,0,0,0,0,101,101,10,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.3,,16,27,23,28,23,26,24,13,23,28,,0,0,0,0,0,1,0,0,0,0,,18,10
06:36.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:36.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
06:37.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:37.1,,0,0,0,12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:37.2,,0,101,101,0,0,101,101,101,0,0,,0,0,0,0,0,1,0,0,0,0,,43,22
06:37.3,,0,0,0,0,101,0,96,0,0,0,,0,0,0,0,1,0,1,0,0,0,,43,22
06:37.4,,0,0,0,0,68,0,0,0,0,0,,0,0,0,0,9,0,1,0,0,0,,43,22
06:37.5,,0,10,42,0,0,9,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:37.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:37.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:37.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:37.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,43,22
06:38.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,34,10
06:38.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,34,10
