05:57:16 procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
05:57:16  r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
06:00:32  1  0      0   2634    232   1159    0    0     0    72 1025 1667  3  1 96  1  0
06:00:33  1  0      0   2634    232   1159    0    0     0     0 1003 1426  4  1 95  0  0
06:00:34  1  0      0   2634    232   1159    0    0     0     0 1024 1630  4  2 94  0  0
06:00:35  1  0      0   2634    232   1159    0    0     0     0  995 1445  2  1 97  0  0
06:00:36  1  0      0   2634    232   1159    0    0     0     0 1022 1507  3  2 95  0  0
06:00:37  1  0      0   2634    232   1159    0    0     0    72 1005 1780  2  1 97  0  0
06:00:38  0  0      0   2634    232   1159    0    0     0     0 1020 1540  3  1 96  0  0
06:00:39  0  0      0   2634    232   1159    0    0     0     0 1001 1412  4  2 94  0  0
06:00:40  1  0      0   2634    232   1159    0    0     0     0 1021 1609  3  2 95  0  0
06:00:41  1  0      0   2634    232   1159    0    0     0     0 1003 1627  2  2 96  0  0
06:00:42  1  0      0   2634    232   1159    0    0     0    96 1038 1693  3  1 96  0  0
06:00:43  1  0      0   2634    232   1159    0    0     0     0 1005 1580  3  1 96  0  0
06:00:44  5  0      0   2634    232   1159    0    0     0     0 1021 1545  2  1 97  0  0
06:00:45  2  0      0   2634    232   1159    0    0     0     0 1002 1433  2  2 96  0  0
06:00:46  1  0      0   2634    232   1159    0    0     0    12 1022 1512  2  1 97  0  0
06:00:47  1  0      0   2634    232   1159    0    0     0    64 1004 1699  3  1 97  0  0
06:00:48  0  0      0   2634    232   1159    0    0     0     0 1010 1616  3  1 96  0  0
06:00:49  1  0      0   2634    232   1159    0    0     0     0 1002 1507  5  2 93  0  0
06:00:50  3  0      0   2634    232   1159    0    0     0     0 1021 1445  4  2 95  0  0
06:00:51  1  0      0   2634    232   1159    0    0     0     0 1003 1551  4  2 95  0  0
06:00:52  4  0      0   2634    232   1159    0    0     0    80 1024 1801  4  2 94  0  0
06:00:53 14  0      0   2634    232   1159    0    0     0     0 1004 1595  4  2 94  0  0
06:00:54 16  0      0   2634    232   1159    0    0     0     0 1022 1530  5  2 93  0  0
06:00:55 10  0      0   2633    232   1161    0    0     0     0 1009 1596  4  1 96  0  0
06:00:56  3  0      0   2632    232   1162    0    0     0     0 1022 1459  5  1 94  0  0
06:00:57  4  0      0   2634    232   1159    0    0     0    96 1021 1660  4  2 95  0  0
06:00:58  2  0      0   2631    232   1162    0    0     0     0 1021 1578  4  1 95  0  0
06:00:59  1  0      0   2634    232   1159    0    0     0     0 1005 1471  6  1 93  0  0
06:01:00  2  0      0   2631    232   1163    0    0     0     0 1021 1400  4  2 94  0  0
06:01:01  0  0      0   2634    232   1159    0    0     0    48 1015 1545  5  1 94  0  0
06:01:02  6  0      0   2633    232   1160    0    0     0    72 1025 1707  5  2 93  0  0
06:01:03  0  0      0   2634    232   1159    0    0     0   240 1018 1624  5  2 92  1  0
06:01:04  0  0      0   2634    232   1159    0    0     0     0 1020 1639  5  2 94  0  0
06:01:05  0  0      0   2634    232   1159    0    0     0     0 1003 1440  5  2 93  0  0
06:01:06  1  0      0   2634    232   1159    0    0     0     0 1020 1488  5  2 94  0  0
06:01:07  2  0      0   2634    232   1159    0    0     0     0 1002 1752  3  1 96  0  0
06:01:08  0  0      0   2633    232   1159    0    0     0    72 1024 1530  4  2 95  0  0
06:01:09  0  0      0   2634    232   1159    0    0     0     0 1004 1501  3  2 96  0  0
06:01:10  1  0      0   2618    232   1175    0    0     0     0 1022 1604  6  2 92  0  0
06:01:11  1  0      0   2632    232   1161    0    0     0     0 1003 1494  6  1 93  0  0
06:01:12  0  0      0   2633    232   1159    0    0     0     0 1023 1708  3  1 96  0  0
06:01:13  0  0      0   2634    232   1159    0    0     0    96 1016 1503  4  2 95  0  0
06:01:14  6  0      0   2634    232   1159    0    0     0     0 1020 1564  3  1 96  0  0
06:01:15  1  0      0   2634    232   1159    0    0     0     0 1004 1404  2  1 97  0  0
06:01:16  1  0      0   2633    232   1159    0    0     0     0 1020 1497  3  1 96  0  0
06:01:17  0  0      0   2633    232   1159    0    0     0     0 1004 1578  4  1 95  0  0
06:01:18  0  0      0   2633    232   1159    0    0     0    80 1022 1547  3  2 96  0  0
06:01:19  0  0      0   2633    232   1160    0    0     0     0 1005 1432  5  1 95  0  0
06:01:20  0  0      0   2629    232   1164    0    0     0     8 1023 1403  4  1 95  0  0
06:01:21  0  0      0   2629    232   1164    0    0     0     0 1002 1713  4  2 94  0  0
06:01:22  1  0      0   2633    232   1160    0    0     0     0 1021 1775  5  2 93  0  0
06:01:23  1  0      0   2633    232   1160    0    0     0    68 1007 1395  3  2 95  0  0
06:01:24  0  0      0   2633    232   1160    0    0     0     0 1020 1507  4  1 95  0  0
06:01:25  0  0      0   2633    232   1160    0    0     0     0 1004 1500  4  1 95  0  0
06:01:26  0  0      0   2633    232   1160    0    0     0     0 1017 1486  3  2 96  0  0
06:01:27  3  0      0   2633    232   1160    0    0     0     0 1006 1736  3  1 97  0  0
06:01:28  3  0      0   2633    233   1160    0    0     0    96 1040 1600  4  2 94  0  0
06:01:29  1  0      0   2633    233   1160    0    0     0     0 1002 1563  5  1 94  0  0
06:01:30  0  0      0   2633    233   1160    0    0     0     0 1020 1442  5  1 94  0  0
06:01:31  3  0      0   2633    233   1160    0    0     0     0 1004 1355  5  2 94  0  0
06:01:32  3  0      0   2633    233   1160    0    0     0     0 1020 1521  4  1 95  0  0
06:01:33  3  0      0   2633    233   1160    0    0     0    72 1009 1425  4  1 95  0  0
06:01:34  7  0      0   2633    233   1160    0    0     0     0 1021 1458  4  2 94  0  0
06:01:35  1  0      0   2633    233   1160    0    0     0   108 1024 1265  3  2 95  0  0
06:01:36  2  0      0   2633    233   1160    0    0     0     0 1021 1295  4  2 94  0  0
06:01:37  0  0      0   2633    233   1160    0    0     0     0 1006 1535  2  1 97  0  0
06:01:38  6  0      0   2633    233   1160    0    0     0    72 1023 1383  3  1 96  1  0
06:01:39  5  0      0   2633    233   1160    0    0     0     0 1004 1297  6  2 92  0  0
06:01:40  5  0      0   2633    233   1160    0    0     0     0 1022 1427  3  1 96  0  0
06:01:41  6  0      0   2633    233   1160    0    0     0     0 1003 1379  3  1 96  0  0
06:01:42  1  0      0   2633    233   1160    0    0     0     0 1021 1591  3  2 95  0  0
06:01:43  1  0      0   2633    233   1160    0    0     0    84 1019 1278  4  2 94  0  0
06:01:44  5  0      0   2633    233   1160    0    0     0     0 1021 1335  3  1 96  0  0
06:01:45  1  0      0   2633    233   1160    0    0     0     0 1003 1275  3  1 96  0  0
06:01:46  5  0      0   2633    233   1160    0    0     0     0 1022 1326  2  1 97  0  0
06:01:47  1  0      0   2633    233   1160    0    0     0     0 1001 1565  2  1 97  0  0
06:01:48  1  0      0   2633    233   1160    0    0     0    80 1015 1411  5  2 93  0  0
06:01:49  6  0      0   2633    233   1160    0    0     0     0 1004 1433  5  2 93  0  0
06:01:50  4  0      0   2633    233   1160    0    0     0     0 1018 1501  6  2 93  0  0
06:01:51  5  0      0   2614    233   1179    0    0     0     0 1003 1522  4  1 95  0  0
06:01:52  4  0      0   2630    233   1163    0    0     0     0 1019 1740 11  2 88  0  0
06:01:53  4  0      0   2633    233   1160    0    0     0    72 1004 1483  2  1 96  1  0
06:01:54  4  0      0   2633    233   1160    0    0     0     0 1021 1522  3  1 96  0  0
06:01:55  4  0      0   2633    233   1160    0    0     0    12 1008 1430  3  1 96  0  0
06:01:56  4  0      0   2633    233   1160    0    0     0     0 1021 1549  3  2 95  0  0
06:01:57  4  0      0   2633    233   1160    0    0     0     0 1002 1696  4  2 94  0  0
06:01:58  4  0      0   2633    233   1160    0    0     0    92 1037 1664  4  3 94  0  0
06:01:59  4  0      0   2633    233   1160    0    0     0     0 1004 1583  4  1 95  0  0
06:02:00  4  0      0   2633    233   1160    0    0     0     0 1018 1506  4  1 95  0  0
06:02:01  4  0      0   2633    233   1160    0    0     0     0 1004 1630  4  1 95  0  0
06:02:02  4  0      0   2633    233   1160    0    0     0     0 1017 1713  5  3 92  0  0
06:02:03  5  0      0   2633    233   1160    0    0     0    72 1007 1409  9  1 90  0  0
06:02:04  6  0      0   2633    233   1160    0    0     0     0 1025 1561  5  2 93  0  0
06:02:05  9  0      0   2633    233   1161    0    0     0     0 1003 1453  6  1 93  0  0
06:02:06  5  0      0   2631    233   1162    0    0     0     0 1021 1517  4  1 95  0  0
06:02:07 45  0      0   2633    233   1161    0    0     0     0 1006 1704  3  1 96  0  0
06:02:08  4  0      0   2633    233   1160    0    0     0    72 1024 1502  3  1 96  0  0
06:02:09 14  0      0   2629    233   1164    0    0     0     0 1002 1437  2  2 96  0  0
06:02:10  5  0      0   2633    233   1160    0    0     0    48 1030 1543  3  1 96  0  0
06:02:11  6  0      0   2633    233   1160    0    0     0     0 1003 1490  3  1 96  0  0
06:02:12  4  0      0   2633    233   1160    0    0     0     0 1021 1753  3  1 96  0  0
06:02:13  4  0      0   2633    233   1160    0    0     0    96 1020 1504  3  1 96  0  0
06:02:14  4  0      0   2633    233   1160    0    0     0     0 1019 1587  3  1 97  0  0
06:02:15  4  0      0   2633    233   1160    0    0     0     0 1003 1438  2  2 96  0  0
06:02:16  4  0      0   2633    233   1160    0    0     0     0 1020 1538  3  1 97  0  0
06:02:17  4  0      0   2633    233   1160    0    0     0     0 1002 1637  4  2 95  0  0
06:02:18  4  0      0   2632    233   1160    0    0     0    80 1012 1489  3  1 96  0  0
06:02:19  4  0      0   2632    233   1160    0    0     0     0 1003 1468  5  2 94  0  0
06:02:20  4  0      0   2632    233   1160    0    0     0     0 1020 1581  3  1 96  0  0
06:02:21  4  0      0   2632    233   1160    0    0     0     0 1003 1668  4  2 94  0  0
06:02:22  4  0      0   2632    233   1160    0    0     0     0 1020 1696  3  1 96  0  0
06:02:23  4  0      0   2632    233   1160    0    0     0    72 1007 1451  4  1 95  0  0
06:02:24  4  0      0   2632    233   1160    0    0     0     0 1020 1501  5  2 94  0  0
06:02:25  4  0      0   2632    233   1160    0    0     0     0 1003 1479  3  1 96  0  0
06:02:26  4  0      0   2632    233   1160    0    0     0     0 1019 1553  3  2 95  0  0
06:02:27  4  0      0   2632    233   1160    0    0     0     0 1005 1666  4  2 94  0  0
06:02:28  7  0      0   2632    233   1161    0    0     0    92 1036 1603  4  2 93  0  0
