Ti00,<Length>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<Event>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<CPU>:,us,sy
29:37.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,14
29:37.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,14
29:37.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,14
29:37.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,14
29:38.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.1,,0,0,0,50,0,61,0,0,0,76,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.2,,84,68,81,21,82,6,82,79,82,76,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.3,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,18,10
29:38.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:38.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,18,10
29:39.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.1,,0,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.2,,101,93,99,94,100,94,99,97,100,94,,12,0,0,1,0,0,0,0,0,0,,21,17
29:39.3,,0,101,0,101,0,0,0,23,0,101,,1,0,0,1,0,0,0,1,0,0,,21,17
29:39.4,,8,101,4,0,19,17,15,0,12,10,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:39.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,21,17
29:40.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:40.1,,0,0,101,86,67,66,63,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:40.2,,89,101,0,0,67,24,42,34,101,34,,0,0,0,0,0,0,0,0,2,0,,19,9
29:40.3,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,19,9
29:40.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:40.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
29:40.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,19,9
